,AreaName,Price ($),lat,lng
137,Eglinton East,699900,43.742371,-79.245285
138,Downtown,500000,43.656715000000005,-79.37155899999999
139,Davisville,415000,43.705597,-79.397453
140,Lambton Baby Point,404900,43.648071,-79.486664
141,Lambton Baby Point,514900,43.648071,-79.486664
142,Mimico,699995,43.62001,-79.483086
143,Henry Farm,399000,43.775208,-79.336426
144,Bayview Village,349900,43.769569,-79.369514
145,Lambton,959000,43.664501,-79.492035
146,West Hill,669000,43.760899,-79.191841
147,Pleasant View,385000,43.792374,-79.33669300000001
148,Humber Summit,312900,43.757954,-79.557304
149,Willowdale,399000,43.757988,-79.403625
150,Scarborough Junction,678000,43.701309,-79.27533000000001
151,Morningside,255999,43.786823,-79.19548
152,Downsview,619900,43.738079,-79.50128199999999
153,Toronto,352500,43.75103,-79.465858
154,Kingsview Village,479900,43.697365000000005,-79.546089
155,Dorset Park,688888,43.764812,-79.280273
156,Humberlea,599000,43.721088,-79.538445
157,Kennedy Park,749000,43.720936,-79.254662
158,Wilson Heights,294000,43.749321,-79.437149
159,Lawrence Heights,575000,43.717735,-79.44203900000001
160,Willowdale,1528000,43.761971,-79.397667
161,Briar Hill - Belgravia,650000,43.694396999999995,-79.462372
162,Eringate - Centennial - West Deane,259900,43.639858000000004,-79.584564
163,Bayview Village,524888,43.767936999999996,-79.387955
164,Eglinton East,699800,43.743881,-79.231148
165,Agincourt,293900,43.779205,-79.28151700000001
166,Emery,699800,43.736176,-79.544945
167,Jane and Finch,399900,43.738815,-79.51902
168,Mimico,314900,43.624207,-79.488228
169,Bendale,639000,43.764198,-79.241608
170,L'Amoreaux,699000,43.809433,-79.32437900000001
171,Steeles,699900,43.818989,-79.32539399999999
172,Malvern,549000,43.81366,-79.234749
173,Willowdale,418888,43.760464,-79.410248
174,Brookhaven - Amesbury,599900,43.695271000000005,-79.497498
175,Bayview Village,529000,43.788269,-79.368301
176,Pleasant View,599000,43.780949,-79.339569
177,Eringate - Centennial - West Deane,419900,43.639858000000004,-79.584564
178,Woburn,355000,43.780956,-79.249779
179,Woodbine Gardens,665000,43.703903000000004,-79.295723
180,Mimico,778900,43.621113,-79.507195
181,Victoria Village,1388800,43.728958,-79.315933
182,Willowdale,299000,43.765537,-79.413155
183,Emery,309000,43.747166,-79.564651
184,Newtonbrook,1599000,43.793625,-79.387253
185,Port Union,756900,43.777721,-79.137276
186,Pleasant View,372000,43.792374,-79.33669300000001
187,Bayview Woods - Steeles,1369000,43.788219,-79.388046
188,Eatonville,1569000,43.635109,-79.543159
189,Wilson Heights,319900,43.734035,-79.447968
190,Newtonbrook,520000,43.780727,-79.41999100000001
191,Willowdale,335000,43.774994,-79.413467
192,Mimico,425000,43.62273,-79.483192
193,Steeles,381000,43.81361,-79.32341
194,Tam O'Shanter,338000,43.785804999999996,-79.292114
195,Newtonbrook,299000,43.780666,-79.44633499999999
196,Wilson Heights,339900,43.734478,-79.446472
197,L'Amoreaux,799000,43.793324,-79.327263
198,Rexdale,200000,43.733540000000005,-79.592949
199,Silverthorn,829000,43.687645,-79.477287
200,Midtown Toronto,1395000,43.711784,-79.43515
201,Steeles,269000,43.81361,-79.32341
202,Midtown Toronto,1420000,43.688213,-79.433723
203,Birch Cliff,455000,43.701328000000004,-79.264549
204,Don Valley Village,669000,43.773926,-79.361595
205,L'Amoreaux,599000,43.802258,-79.29860699999999
206,Jane and Finch,239900,43.753849,-79.513535
207,Jane and Finch,575000,43.74192,-79.509659
208,The Queensway,849500,43.631695,-79.510124
209,Wilson Heights,318000,43.752891999999996,-79.449783
210,Midtown Toronto,1148000,43.717461,-79.37886
211,Willowdale,399800,43.763969,-79.407013
212,Eatonville,274900,43.639694,-79.563148
213,Downtown,401900,43.648296,-79.39295200000001
214,Downtown,388800,43.652451,-79.388931
215,Jane and Finch,599900,43.759514,-79.491844
216,Bayview Village,478000,43.767746,-79.370918
217,Lawrence Heights,357000,43.717121,-79.441757
218,Downtown,593900,43.650372,-79.382347
219,Wilson Heights,455000,43.734478,-79.446472
220,Willowdale,399000,43.765842,-79.410057
221,Downtown,419000,43.670372,-79.384468
222,Mimico,437888,43.622883,-79.481972
223,Dorset Park,229000,43.751743,-79.266388
224,Niagara,303400,43.636345,-79.404808
225,Downtown,299999,43.641788,-79.381874
226,York University Heights,779000,43.765240000000006,-79.502808
227,Downtown,419900,43.650372,-79.382347
228,Bayview Village,475000,43.769611,-79.368416
229,Lansing,589000,43.760517,-79.411743
230,Rouge,899900,43.808025,-79.189018
231,Eatonville,289900,43.640301,-79.562302
232,Downtown,378000,43.670547,-79.380585
233,Downtown,559800,43.669643,-79.380608
234,Newtonbrook,688000,43.778427,-79.45053100000001
235,Rexdale,239900,43.724765999999995,-79.616486
236,Willowdale,568000,43.760135999999996,-79.40789000000001
237,King West Village,636000,43.642071,-79.41458100000001
238,Cliffcrest,599000,43.721256,-79.24503299999999
239,Little Portugal,330000,43.641529,-79.424118
240,Newtonbrook,949900,43.778614000000005,-79.441551
241,Bridlewood,229900,43.794464000000005,-79.312782
242,Willowdale,427900,43.769981,-79.411751
243,Toronto,749000,43.640353999999995,-79.426109
244,Niagara,299900,43.642792,-79.407196
245,Earlscourt,625000,43.679153,-79.457504
