,AreaName,Price ($),lat,lng,KMeans_Cluster
128,Downtown,425000,43.669456,-79.387474,0
129,Downtown,395000,43.649731,-79.365303,0
130,Midtown Toronto,1399999,43.671864,-79.393814,1
131,Liberty Village,375000,43.638775,-79.41626,0
132,Downtown,420000,43.644455,-79.37653399999998,0
133,Downtown,1525000,43.668617,-79.38943499999998,1
134,Liberty Village,379900,43.638306,-79.414787,0
135,Downtown,449900,43.639343,-79.39984100000002,0
136,Downtown,374000,43.656807,-79.37509200000002,0
137,Eglinton East,699900,43.742371,-79.245285,2
138,Downtown,500000,43.65671500000001,-79.37155899999998,0
139,Davisville,415000,43.705597,-79.397453,0
140,Lambton Baby Point,404900,43.648071,-79.486664,0
141,Lambton Baby Point,514900,43.648071,-79.486664,0
142,Mimico,699995,43.62001,-79.483086,2
143,Henry Farm,399000,43.775208,-79.336426,0
144,Bayview Village,349900,43.769569,-79.369514,0
145,Lambton,959000,43.664501,-79.492035,2
146,West Hill,669000,43.760899,-79.191841,2
147,Pleasant View,385000,43.792374,-79.33669300000003,0
148,Humber Summit,312900,43.757954,-79.557304,0
149,Willowdale,399000,43.757988,-79.403625,0
150,Scarborough Junction,678000,43.701309,-79.27533000000003,2
151,Morningside,255999,43.786823,-79.19548,0
152,Downsview,619900,43.738079,-79.50128199999997,2
153,Toronto,352500,43.75103,-79.465858,0
154,Kingsview Village,479900,43.69736500000001,-79.546089,0
155,Dorset Park,688888,43.764812,-79.280273,2
156,Humberlea,599000,43.721088,-79.538445,2
157,Kennedy Park,749000,43.720936,-79.254662,2
158,Wilson Heights,294000,43.749321,-79.437149,0
159,Lawrence Heights,575000,43.717735,-79.44203900000002,2
160,Willowdale,1528000,43.761971,-79.397667,1
161,Briar Hill - Belgravia,650000,43.694397,-79.462372,2
162,Eringate - Centennial - West Deane,259900,43.639858,-79.584564,0
163,Bayview Village,524888,43.767937,-79.387955,0
164,Eglinton East,699800,43.743881,-79.231148,2
165,Agincourt,293900,43.779205,-79.28151700000002,0
166,Emery,699800,43.736176,-79.544945,2
167,Jane and Finch,399900,43.738815,-79.51902,0
168,Mimico,314900,43.624207,-79.488228,0
169,Bendale,639000,43.764198,-79.241608,2
170,L'Amoreaux,699000,43.809433,-79.32437900000002,2
171,Steeles,699900,43.818989,-79.32539399999997,2
172,Malvern,549000,43.81366,-79.234749,2
173,Willowdale,418888,43.760464,-79.410248,0
174,Brookhaven - Amesbury,599900,43.69527100000001,-79.497498,2
175,Bayview Village,529000,43.788269,-79.368301,0
176,Pleasant View,599000,43.780949,-79.339569,2
177,Eringate - Centennial - West Deane,419900,43.639858,-79.584564,0
178,Woburn,355000,43.780956,-79.249779,0
179,Woodbine Gardens,665000,43.703903,-79.295723,2
180,Mimico,778900,43.621113,-79.507195,2
181,Victoria Village,1388800,43.728958,-79.315933,1
182,Willowdale,299000,43.765537,-79.413155,0
183,Emery,309000,43.747166,-79.564651,0
184,Newtonbrook,1599000,43.793625,-79.387253,1
185,Port Union,756900,43.777721,-79.137276,2
186,Pleasant View,372000,43.792374,-79.33669300000003,0
187,Bayview Woods - Steeles,1369000,43.788219,-79.388046,1
188,Eatonville,1569000,43.635109,-79.543159,1
189,Wilson Heights,319900,43.734035,-79.447968,0
190,Newtonbrook,520000,43.780727,-79.41999100000002,0
191,Willowdale,335000,43.774994,-79.413467,0
192,Mimico,425000,43.62273,-79.483192,0
193,Steeles,381000,43.81361,-79.32341,0
194,Tam O'Shanter,338000,43.785805,-79.292114,0
195,Newtonbrook,299000,43.780666,-79.44633499999998,0
196,Wilson Heights,339900,43.734478,-79.446472,0
197,L'Amoreaux,799000,43.793324,-79.327263,2
198,Rexdale,200000,43.73354000000001,-79.592949,0
199,Silverthorn,829000,43.687645,-79.477287,2
200,Midtown Toronto,1395000,43.711784,-79.43515,1
201,Steeles,269000,43.81361,-79.32341,0
202,Midtown Toronto,1420000,43.688213,-79.433723,1
203,Birch Cliff,455000,43.701328,-79.264549,0
204,Don Valley Village,669000,43.773926,-79.361595,2
205,L'Amoreaux,599000,43.802258,-79.29860699999998,2
206,Jane and Finch,239900,43.753849,-79.513535,0
207,Jane and Finch,575000,43.74192,-79.509659,2
208,The Queensway,849500,43.631695,-79.510124,2
209,Wilson Heights,318000,43.752892,-79.449783,0
210,Midtown Toronto,1148000,43.717461,-79.37886,1
211,Willowdale,399800,43.763969,-79.407013,0
212,Eatonville,274900,43.639694,-79.563148,0
213,Downtown,401900,43.648296,-79.39295200000002,0
214,Downtown,388800,43.652451,-79.388931,0
215,Jane and Finch,599900,43.759514,-79.491844,2
216,Bayview Village,478000,43.767746,-79.370918,0
217,Lawrence Heights,357000,43.717121,-79.441757,0
218,Downtown,593900,43.650372,-79.382347,2
219,Wilson Heights,455000,43.734478,-79.446472,0
220,Willowdale,399000,43.765842,-79.410057,0
221,Downtown,419000,43.670372,-79.384468,0
222,Mimico,437888,43.622883,-79.481972,0
223,Dorset Park,229000,43.751743,-79.266388,0
224,Niagara,303400,43.636345,-79.404808,0
225,Downtown,299999,43.641788,-79.381874,0
226,York University Heights,779000,43.76524000000001,-79.502808,2
227,Downtown,419900,43.650372,-79.382347,0
228,Bayview Village,475000,43.769611,-79.368416,0
229,Lansing,589000,43.760517,-79.411743,2
230,Rouge,899900,43.808025,-79.189018,2
231,Eatonville,289900,43.640301,-79.562302,0
232,Downtown,378000,43.670547,-79.380585,0
233,Downtown,559800,43.669643,-79.380608,2
234,Newtonbrook,688000,43.778427,-79.45053100000001,2
235,Rexdale,239900,43.724766,-79.616486,0
236,Willowdale,568000,43.760136,-79.40789000000002,2
237,King West Village,636000,43.642071,-79.41458100000001,2
238,Cliffcrest,599000,43.721256,-79.24503299999998,2
239,Little Portugal,330000,43.641529,-79.424118,0
240,Newtonbrook,949900,43.77861400000001,-79.441551,2
241,Bridlewood,229900,43.79446400000001,-79.312782,0
242,Willowdale,427900,43.769981,-79.411751,0
243,Toronto,749000,43.640354,-79.426109,2
244,Niagara,299900,43.642792,-79.407196,0
245,Earlscourt,625000,43.679153,-79.457504,2
246,Old Town,320000,43.653194,-79.36863699999998,0
247,Leslieville,599900,43.674438,-79.322563,2
248,Downtown,519900,43.64960900000001,-79.403625,0
249,Little Italy,1098000,43.651443,-79.418373,1
250,Downtown,479000,43.661793,-79.384506,0
251,Riverdale,539000,43.657417,-79.349815,2
252,Leslieville,699000,43.66098,-79.330055,2
253,High Park North,995000,43.662804,-79.465935,2
254,Earlscourt,789000,43.676144,-79.443947,2
